"BusinessEntityID","DepartmentID","ShiftID","StartDate","ModifiedDate"
1,16,1,"2015-08-14","2015-08-13"
2,1,1,"2014-08-31","2014-08-30"
3,1,1,"2014-06-11","2014-06-10"
4,1,1,"2014-07-05","2014-07-04"
4,2,1,"2016-12-31","2016-12-30"
5,1,1,"2014-08-06","2014-08-05"
6,1,1,"2014-08-24","2014-08-23"
7,6,1,"2015-09-08","2015-09-07"
7,2,1,"2017-07-05","2017-07-04"
8,6,1,"2015-07-29","2015-07-28"
9,6,1,"2015-08-16","2015-08-15"
10,6,1,"2015-12-03","2015-12-02"
11,2,1,"2017-07-05","2017-07-04"
12,2,1,"2014-07-11","2014-07-10"
13,2,1,"2017-07-23","2017-07-22"
13,1,1,"2017-08-18","2017-08-17"
14,1,1,"2017-07-30","2017-07-29"
15,1,1,"2017-08-18","2017-08-17"
16,5,1,"2014-07-20","2014-07-19"
16,4,1,"2016-02-15","2016-02-14"
17,4,1,"2013-08-26","2013-08-25"
18,4,1,"2017-09-07","2017-09-06"
19,4,1,"2017-09-14","2017-09-13"
20,4,1,"2017-08-07","2017-08-06"
21,4,1,"2015-10-02","2015-10-01"
22,4,1,"2015-07-12","2015-07-11"
23,4,1,"2015-08-12","2015-08-11"
24,4,1,"2015-08-18","2015-08-17"
25,7,1,"2015-09-03","2015-09-02"
26,8,1,"2015-07-01","2015-06-30"
27,7,1,"2014-09-27","2014-09-26"
28,7,1,"2013-01-30","2013-01-29"
29,7,1,"2015-08-23","2015-08-22"
30,7,1,"2015-08-29","2015-08-28"
30,8,1,"2018-02-15","2018-02-14"
31,7,1,"2015-08-04","2015-08-03"
32,7,1,"2015-07-29","2015-07-28"
33,7,1,"2015-07-17","2015-07-16"
34,7,1,"2015-09-16","2015-09-15"
35,7,1,"2015-09-08","2015-09-07"
36,7,1,"2015-09-10","2015-09-09"
37,7,1,"2015-10-07","2015-10-06"
38,7,1,"2016-08-16","2016-08-15"
39,7,1,"2016-09-05","2016-09-04"
40,7,3,"2014-07-26","2014-07-25"
41,7,3,"2015-08-21","2015-08-20"
42,7,3,"2015-07-27","2015-07-26"
43,7,3,"2015-08-02","2015-08-01"
44,7,3,"2015-07-08","2015-07-07"
45,7,3,"2015-09-26","2015-09-25"
46,7,3,"2015-09-08","2015-09-07"
47,7,1,"2015-09-22","2015-09-21"
48,7,1,"2014-08-06","2014-08-05"
49,7,1,"2014-08-07","2014-08-06"
50,7,1,"2014-09-02","2014-09-01"
51,7,1,"2014-09-20","2014-09-19"
52,7,1,"2014-10-10","2014-10-09"
53,7,1,"2014-10-28","2014-10-27"
54,7,1,"2016-08-01","2016-07-31"
55,7,3,"2014-09-08","2014-09-07"
56,7,3,"2015-09-05","2015-09-04"
57,7,3,"2015-09-23","2015-09-22"
58,7,3,"2015-07-05","2015-07-04"
59,7,3,"2015-07-24","2015-07-23"
60,7,3,"2015-08-11","2015-08-10"
61,7,3,"2015-08-18","2015-08-17"
62,7,2,"2014-10-17","2014-10-16"
63,7,2,"2016-08-29","2016-08-28"
64,7,2,"2016-09-23","2016-09-22"
64,7,3,"2017-03-17","2017-03-16"
64,7,1,"2018-05-04","2018-05-03"
65,7,2,"2016-09-23","2016-09-22"
66,7,2,"2016-07-22","2016-07-21"
67,7,2,"2015-10-05","2015-10-04"
68,7,2,"2016-07-03","2016-07-02"
69,7,2,"2015-09-15","2015-09-14"
70,7,2,"2015-07-15","2015-07-14"
71,7,3,"2015-09-15","2015-09-14"
72,7,3,"2015-07-01","2015-06-30"
73,7,3,"2015-07-19","2015-07-18"
74,7,3,"2015-08-07","2015-08-06"
75,7,3,"2015-08-26","2015-08-25"
76,7,3,"2015-09-12","2015-09-11"
77,7,3,"2015-10-03","2015-10-02"
78,7,2,"2015-07-15","2015-07-14"
79,7,2,"2016-08-24","2016-08-23"
80,7,2,"2016-08-17","2016-08-16"
81,7,2,"2016-07-29","2016-07-28"
82,7,2,"2016-10-03","2016-10-02"
83,7,2,"2016-09-12","2016-09-11"
83,7,3,"2018-08-02","2018-08-01"
84,7,2,"2016-09-05","2016-09-04"
85,7,2,"2016-07-11","2016-07-10"
86,7,2,"2015-08-05","2015-08-04"
87,7,3,"2015-07-22","2015-07-21"
88,7,3,"2016-07-18","2016-07-17"
89,7,3,"2016-09-01","2016-08-31"
89,7,2,"2017-09-05","2017-09-04"
90,7,3,"2016-09-20","2016-09-19"
91,7,3,"2016-08-12","2016-08-11"
92,7,3,"2016-10-10","2016-10-09"
93,7,2,"2015-07-27","2015-07-26"
94,7,2,"2015-07-12","2015-07-11"
95,7,2,"2015-07-19","2015-07-18"
96,7,2,"2015-10-02","2015-10-01"
97,7,2,"2015-09-10","2015-09-09"
98,7,2,"2015-09-11","2015-09-10"
99,7,2,"2015-08-06","2015-08-05"
100,7,2,"2015-08-12","2015-08-11"
101,7,2,"2015-08-25","2015-08-24"
102,7,2,"2015-07-03","2015-07-02"
103,7,2,"2016-07-06","2016-07-05"
104,7,2,"2016-07-25","2016-07-24"
105,7,2,"2016-07-25","2016-07-24"
106,7,2,"2016-09-27","2016-09-26"
107,7,2,"2016-09-08","2016-09-07"
108,7,1,"2015-07-08","2015-07-07"
